꼬부리24시전주콩나물국밥보쌈전하점,진성4길 30 (전하동)
대한육회,명덕5길 22 (서부동)
본가 어탕,남목1길 8 (서부동)
쪽샘식당,번덕8길 119 (일산동)
치킨마니와,학문로 8-1 (일산동)
신이준떡볶이,"양지6길 20 (화정동,102호)"
덕이돼지갈비,"전하로 20, 1층 (전하동)"
용궁해물탕,대송로 26 (일산동)
가마솥돼지국밥,대송로 26 (일산동)
다사랑식당,명덕5길 19 (서부동)
해림가든,동진로 39 (방어동)
언양닭칼국수,옥류2길 1 (서부동)
신토불이왕족발,미포3길 24 (동부동)
오징어 나라,전하로 20 (전하동)
구공탄구이,꽃바위로 199 (방어동)
풍미식당,녹수7길 62 (전하동)
태화돼지국밥식당,"대학길 178 (화정동, 637-28)"
원 아구찜,진성2길 37 (전하동)
청춘포차,북진6길 41 (방어동)
주전토종닭백숙,동해안로 681 (주전동)
대성횟집,"보밑길 79 (주전동,지상1층)"
카페그냥,"주전해안길 162 (주전동, 279-3)"
푸짐한 생 아구찜,바드래2길 12 (전하동)
24시막창,전하로 21 (전하동)
감자바우,번덕7길 10 (일산동)
신토불이횟집,주전해안길 122 (주전동)
맥시칸양념통닭,명덕5길 10 (서부동)
별장횟집,
꽃바위낙지촌,문현로 60 (방어동)
주향정,동해안로 7-1 (서부동)
사랑식당,바드래5길 30 (전하동)
미포손칼국수,남진길 94-2 (방어동)
일출봉식당,옥류로 10 (동부동)
형제숯불갈비,동해안로 41 (동부동)
오늘도연탄구이,명덕4길 15 (서부동)
돼지세상,진성8길 127 (전하동)
동진초장,동진4길 56 (방어동)
간이역,번덕8길 142 (일산동)
경남식당,명덕7길 10 (서부동)
조방낙지식당,미포4길 4 (동부동)
오복돼지국밥,미포3길 22 (동부동)
이조손칼국수,옥류로 64 (동부동)
나는가수다7080,해수욕장길 6 (화정동)
충남식당,대송7길 28 (화정동)
더터번,방어진순환도로 875 (전하동)
일출횟집,보밑길 69 (주전동)
백년약속,옥류2길 3 (서부동)
산너머남촌,"동해안로 596, 2층 (주전동)"
꽃바위 아구찜,꽃바위로 214 (방어동)
5.5 파전,화진길 37 (방어동)
