앵그리 불닭발,대송6길 50 (화정동)
돌피,"번덕로 6-1, 1층 (일산동)"
칠산바다,"동진로 49, 1층 (방어동)"
소나무,"꽃바위로 348, 1층 (방어동)"
뚱스비어,"옥류로 22, 2층 (동부동)"
안골목,"남목14길 32, 1층 (동부동)"
피자 알볼로 울산 전하점,"전하로 37, 103동 104호 (전하동, 한라한빛타운 상가)"
고향의봄,해수욕장1길 45 (일산동)
핫Bar,"해수욕장길 25, 5층 (일산동)"
우화정,"해수욕장6길 17, 1층 (일산동)"
거제도 굴구이 꿀꿀이,"월봉8길 47, 1층 (화정동)"
통영장어 무한리필,일산진6길 23 (일산동)
남보완해물칼국수,"해수욕장4길 25, 1층 (일산동)"
옛날통닭,"동해안로 26, 2층 (동부동)"
과수원집,진성8길 11-1 (일산동)
고바우,"방어진순환도로 652, 2동 E102호 (일산동, 테라스파크)"
앤드(AnD),동해안로 663 (주전동)
바우왕족발,"남목18길 11, 1층 1호 (동부동, 동부시장)"
옛날통닭앤포차,"꽃바위4길 54, 1층 (방어동)"
먹거리1번지,월봉로 47 (화정동)
원플레이트애스터리스크(One plate asterisk),"방어진순환도로 652, 2층 (일산동, 테라스파크)"
만남,내진3길 15 (방어동)
동이횟집,주전해안길 142 (주전동)
그집 돈까스 닭강정,대송8길 14 (화정동)
전통가마실감자탕,월봉10길 5 (화정동)
오매가매,등대6길 5 (방어동)
합천돼지국밥,"봉수로 290, B224, B225호 (전하동, e편한세상 전하 상가동)"
예가돈가,"방어진순환도로 975, 1동 2층 (서부동)"
버즈 로스터스,"명덕4길 10, 1층 (서부동)"
독도아구찜,"진성11길 106, J동 101호 (전하동, 산성연립주택)"
엠에스(MS)푸드,"학문로 45-1, 1층 (화정동)"
할매손충무김밥,"전하로 37, 103동 102호 (전하동)"
안녕 하루에서,내진길 57 (방어동)
가마치통닭 전하점,전하로 34 (전하동)
미가쌈밥 삼겹살,"옥류2길 10, 1층 (서부동)"
네네치킨&봉구스밥버거 이스턴화정점,월봉8길 41 (화정동)
아지트,"방어진순환도로 925, 1층 (서부동)"
일산초장,"일산진11길 150, 1층 (일산동)"
춘춘쭈꾸미,"동해안로 3, 1층 (서부동)"
죠스떡볶이 울산방어점,화문로 68 (방어동)
에이아트카페(A.아트카페),꽃바위로 201 (방어동)
닭발자국,꽃바위로 272-1 (방어동)
천천만만 감자탕,"등대로 40, 104호 (방어동)"
여유만만,진성14길 62 (전하동)
비에치시(BHC) 방어진점,화암7길 16-7 (방어동)
호식이 두마리치킨 전하점,진성11길 99 (전하동)
율촌갈비탕,"대송로 5, 1층 (일산동)"
불닭발땡초동대문엽기떡볶이울산일산점,방어진순환도로 613 (화정동)
나는조선의떡볶이다,진성8길 65 (전하동)
명인만두,대송9길 4 (화정동)
쿠우쿠우 울산동구점,"일산진4길 19, 3층 (일산동)"
치요남치킨 동구점,"대송5길 1, 1층 (화정동)"
몰리간,바드래5길 11 (전하동)
아지트,등대5길 3 (방어동)
대왕암가야밀면,"등대로 9, 2층 (일산동)"
대왕암암소갈비,"등대로 26, 1~3층 (방어동)"
테스 팝,전하로 22 (전하동)
참맛있는고기비빔밥,녹수10길 5 (전하동)
삼돌이푸드존,"대송9길 46, 1층 (화정동)"
순례국밥,남진길 80-12 (방어동)
월봉옛날통닭,화정8길 10 (화정동)
산애들,일산진11길 23 (일산동)
올꼬꼬치킨,내진길 70 (방어동)
토속돼지국밥,북진6길 41 (방어동)
티파니,"대송로 4, 2층 (일산동)"
화덕에꾸운닭(전하점),전하로 30 (전하동)
은하수 소머리국밥,전하로 30 (전하동)
풀(full),"명덕5길 28, 2층 (서부동)"
해마지,동해안로 671 (주전동)
성안흑염소농장,진성4길 3 (전하동)
인생극장,등대6길 3 (방어동)
참뼈다귀감자탕,"대송로 7, 1층 (일산동)"
얼큰손수제비,"진성14길 77, 1층 1-53,63호 (전하동, 동울산종합시장)"
치킨더홈,"녹수길 113, 103호 (전하동, 현대 한마음아파트 상가동)"
아이스(ICE),상진2길 27 (방어동)
화정식당,번덕9길 13 (화정동)
부산밀면&짜장짬뽕전문점,동해안로 615 (주전동)
경아칼국수,"남목18길 8, 1층 177호 (동부동, 남목시티프라자)"
이비가짬봉,등대로 22 (방어동)
싱싱횟집,"등대5길 2, 101호 (방어동)"
산전수전,"등대로 12, 2층 201호 (방어동)"
주유소,"번덕3길 3, 1층 (일산동)"
새벽닭,대학길 174 (화정동)
참새집,화정6길 29 (화정동)
더몽돌물회(The몽돌물회),"동해안로 732, 1층 (주전동)"
멜리오 구스토,"남목20길 28, 1층 (동부동)"
아바(ABBA),"남진길 53, 1층 (방어동)"
국수나무 방어점,"문현로 46-1, 1층 (방어동)"
가야지,"대학길 142, 1층 (화정동)"
처갓집양념치킨 화정점,대송8길 31 (화정동)
아키라,"방어진순환도로 899, 5층 (서부동)"
다계촌,꽃바위로 205-1 (방어동)
카페다오,"해수욕장10길 34, 4층 (일산동)"
같이 하는 곳,"번덕8길 118, 1층 (일산동)"
대왕비빔밥,화진5길 7 (화정동)
소문난밥집,번덕8길 41 (일산동)
한솥도시락(울산전하점),전하로 36 (전하동)
한나분식,"진성14길 77, 1층 31,32호 (전하동)"
무한수산,대학길 89 (화정동)
화로 숯불갈비,"미포1길 35 (동부동, 1층)"
빨봉분식,"봉수로 270, 근린생활시설3동 114호 (전하동, 전하아이파크)"
명덕집,명덕3길 12 (서부동)
진사골김치찜&미(味)국수,"미포4길 22 (동부동, 1층)"
미스터 짬뽕,등대로 40 (방어동)
신가네돼지국밥,"미포5길 13 (동부동, 1층)"
홍콩반점 울산일산점,"일산진11길 23, 1층 (일산동)"
밥상드림,"꽃바위로 172 (방어동, 1층)"
사발생국수,"번덕8길 37, 1층 (일산동)"
도야족발보쌈 화정점,"대송6길 14, 1층 (화정동)"
솔,"방어진순환도로 849-1, 2층 (전하동)"
명덕 구운몽,"방어진순환도로 925 (서부동, 1층)"
황부돌전통국밥,녹수3길 1 (전하동)
하와이 새우트럭,"등대로 99, D동 2호 (일산동, 대왕암공원내상가)"
가는정수산,"일산진4길 19, 1층 (일산동)"
정우분식,"내진길 55 (방어동, 1층)"
썬더치킨 일산점,"대학길 151, 1층 (일산동)"
림하우스,"내진길 60 (방어동, 1층)"
만남호프,남목17길 1 (동부동)
따신족발,"등대로 8-10, 101호 (화정동)"
장수원,화정2길 8 (화정동)
샘터,"꽃바위로 314 (방어동, 지하1층)"
옛날전통육계장,"화잠8길 2 (방어동, 지상1층)"
하마쌈밥,"월봉로 43, 1층 (화정동)"
꼬드막,"문현로 98 (방어동, 지상1층)"
홍익 궁중 전통 육개장 울산방어점,꽃바위로 174 (방어동)
뿔발,"학문로 1, 1층 (일산동)"
잎새만두,"문재7길 25 (방어동, 지상1층)"
9첩반상백반집,"녹수6길 12, 1층 (전하동)"
바빈스커피 브런치,"상진길 113 (방어동, 지상3층)"
땡초병아리,"꽃바위로 236 (방어동, 지상1층)"
더 스테이션(The Station),"남진길 52 (방어동, 지상1층)"
명랑쌀핫도그,방어진순환도로 613 (화정동)
왔다쪽갈비(동구점),"진성11길 106, H동 106호 (전하동, 산성연립주택)"
대게 일번지,"중진길 37 (방어동, 지상1층)"
육대장,"일산진3길 27, 1층 (일산동)"
더(The)아라횟집,"명덕5길 19, 1층 (서부동)"
미생스시,"화진길 100, 102호호 (화정동, 엠코타운 이스턴베이)"
경주식당 전&즉석간식,"등대로 99, B동 1호 (일산동, 대왕암공원내상가)"
온산횟집,"해수욕장10길 60, 1층 (일산동)"
이모식당,바드래5길 15 (전하동)
참새와 방앗간포차,"대송9길 4, 지하1층 (화정동)"
허선생치킨,"화진6길 8, 1층 (화정동)"
국수생각,"대송8길 3 (화정동, 지상1층)"
현경,"꽃바위로 328, 2층 (방어동)"
60 계,"미포1길 55, 1층 (동부동)"
초원정 식육식당,"보밑길 77 (주전동, 지상1층,2층)"
오리지날,"꽃바위로 209-1 (방어동, 지상1층)"
웅지분식,"동해안로 625 (주전동, 지상1층)"
이승윤의 알통떡강정(방어진점),"화문로 52 (방어동, 지상1층)"
원이록이,명덕5길 30 (서부동)
진,"내진길 53 (방어동, 지상1층)"
깔끔한 집밥과 커피,바드래4길 82-6 (전하동)
아구일번지,"월봉12길 4, 1층 (화정동)"
큰솔횟집,"주전해안길 90 (주전동, 지상1층)"
손영환비빔국수 수제돈까스,"등대5길 38 (방어동, 지상1층)"
미니펍,"화진길 100, 1동 1층 104호, 105호 (화정동, 엠코타운 이스턴베이 근린생활시설-1)"
오층만화방카페,"해수욕장길 5, 5층 (일산동)"
부산밀면&열정국밥,"전하로 30, 1층 (전하동)"
비비큐(BBQ),"진성3길 46, 1층 (전하동)"
짱구분식,"월봉10길 59, 1층 (화정동)"
솥밥정식,"녹수5길 1, 1층 (전하동)"
83왕소금구이,"화진8길 52, 가동 1층 (화정동)"
꾸브라꼬,산록3길 6 (전하동)
착한 족발 보쌈,"문현로 41 (방어동, 지상1층)"
따복따복,"대학길 99, 1층 (화정동)"
동해초장집,"해수욕장10길 60, 1층 (일산동)"
산수림,"내진길 22 (방어동, 지상1층)"
다해,"동해안로 562 (주전동, 지하1층)"
코다리마을,"주전해안길 96 (주전동, 지상1층)"
7(세븐),"문현로 32, 2층 (방어동)"
상록원,"화잠7길 35, 1층 (방어동)"
투존치킨,"대송로 139, 1층 (화정동)"
싱싱한삼촌,"해수욕장10길 60, 1층 (일산동)"
엄마의식탁,"문현로 99, 1층 (방어동)"
접선장소,미포1길 33 (동부동)
해피,"전하로 16 (전하동, 지상2층)"
야시장,"문재2길 6 (방어동, 지상1층)"
은빛해물,"서진길 65, 1층 (방어동)"
돼지엄마식당,"화진5길 4, 1층 (화정동)"
맛있는곰탕이야기,"일산진2길 26, 1층 (일산동)"
명인참치,"방어진순환도로 652, A동 1층 103호,104호 (일산동)"
한우팜식육식당,"미포1길 5 (동부동, 지상1층)"
국수나무,"방어진순환도로 655-1, 1층 (일산동)"
카페1201,"월봉로 62, 1층 (화정동)"
장어한판,"꽃바위로 258 (방어동, 지상1층)"
힐링한모금,"주전해안길 10 (주전동, 지상1층)"
명랑쌀핫도그전하점,"봉수로 290, 지상동 2층 B204호 (전하동, e편한세상 전하상가동)"
챠푸,"화진8길 48, 1층 103호 (화정동)"
국수나무,"진성14길 118, 1층 105호 (전하동)"
진성뼈해장국,"진성13길 105, 1층 (전하동)"
영천식당,"남목17길 3 (동부동, 지상1층)"
대한민국진짜배기,"꽃바위로 345 (방어동, 지상1층)"
옥류식당,"남목17길 3 (동부동, 지상1층)"
파라다이스,"진성8길 142, 1층 (전하동)"
가시버시,진성8길 65 (전하동)
금강수산,"일산진11길 181, 1층 (일산동)"
정식당,"동해안로 661, 2층 (주전동)"
달구지막창,"화진8길 30, 1층 (화정동)"
청년피자,"등대5길 43-1 (방어동, 지상1층)"
착한포차,"내진길 68 (방어동, 지상1층)"
현대초장,"성끝길 66 (방어동, 지상2층)"
구워먹는정육점,"명덕3길 6 (서부동, 제1호 내 제5호)"
월남선생(일산지점),"일산진2길 19, 1층 (일산동)"
전주콩나물국밥.콩사돈,"대학길 71, 1층 (화정동)"
김밥천국(남목점),"동해안로 15, 1층 (서부동)"
부즈팝(BOOZE PUB),"방어진순환도로 845-1, 1층 (전하동)"
계림식당,"내진길 40, 1층 (방어동)"
황금,"진성12길 115, 지하1층 (전하동)"
강산손칼국수수제비,"진성3길 39 (전하동, 삼연연립주택아파트)"
장가네불닭발,"미포1길 25, 1층 (동부동)"
전하식당,"녹수7길 26, 1층 (전하동)"
치킨플러스 울산화정점,"화진길 99, 1층 101호 (화정동)"
진가원전주콩나물국밥,"전하로 4-1, 1층 (전하동)"
철인7호 울산전하점,"진성6길 60, 1층 (전하동)"
싱글벙글곰장어,"진성6길 46, 1층 (전하동)"
좋은하루,"화진길 137, 지하동 1층 (화정동)"
본죽 울산 일산 테라스파크점,"방어진순환도로 652, C동 1층 115호 (일산동)"
더펍(The pub),"방어진순환도로 853, 1층 (전하동)"
도깨비,"문현로 105, 2층 (방어동)"
헨젤과그레텔,"화진길 27, 2층 (방어동)"
아지트,"동진로 12, 2층 (방어동)"
한우 한돈 구이센터,"등대로 17, 2층 (일산동)"
더치키니,"월봉8길 52, 1-2층 (화정동)"
고집통,"진성14길 77, 지상동 1층 19호,22호,24호호 (전하동)"
볼링장라운지텐핀,"명덕로 10 (서부동, 현대예술관A동)"
백식당,"번덕7길 13, 1층 (일산동)"
평창막국수(대왕암점),"등대로 99, D동 1-2층 4호 (일산동)"
더블핸스테이크 울산대왕암공원점,"등대로 99, B동 1-2층 3호 (일산동)"
우야지 막창,"대학길 123, 1층 (화정동)"
빵돌이네포차,"대송1길 67, 1층 (화정동)"
고기마을,"문재2길 30, 1층 (방어동)"
국수랑수제비랑,"화정5길 5, 1층 (화정동)"
반하다,"꽃바위4길 7, 1층 (방어동)"
찜다해동구점,"월봉8길 41, 1층 (화정동)"
미스(Miss)코다리미스터(Mr)황태,옥류1길 1 (서부동)
유정포차,"번덕8길 18, 1층 (일산동)"
가반상,"동진5길 58, 1층 (방어동)"
여자애향기,"월봉로 55, 1층 (화정동)"
해와달,"화정8길 29, 1층 (화정동)"
더레드,"문현로 89, 2층 (방어동)"
수내닭꼬치,동해안로 12 (서부동)
일원갈비탕,"동해안로 611, 지상동 1층 (주전동)"
부광양념족발구이,"미포4길 7, 1층 (동부동)"
유가맥주집,"화진길 34, 1층 (방어동)"
인정국물떡볶이&깻잎두마리치킨,"진성14길 34, 지상동 1층 (전하동)"
바다향횟집,"꽃바위로 273-1, 1층 (방어동)"
트레비어(일산점),"방어진순환도로 652, 제2동 1층 E105호 (일산동, 테라스파크)"
붕어 어탕집,"화진7길 10, 1층 (화정동)"
대한맥주집 울산일산점,"방어진순환도로 652, 1층 (일산동, E동103호)"
그 남자의 김밥,"학문로 57, 1층 (화정동)"
떳다김밥맨,"봉수로 450, 105호 (서부동)"
낭만치킨포차동구과학대점 엄니국물닭발&탕탕탕(본점),"양지5길 8, 지상동 1층 (화정동)"
골든이글스,"해수욕장10길 32 (일산동, 2층-3층)"
남다른감자탕울산전하점,"전하로 18, 지상동 2층 (전하동)"
당신은지금치킨이땡긴다,"월봉로 11, 103동 1층 102호 (화정동, 대하크리스탈 상가)"
60계 울산화정점,"화진8길 48, 1층 102호 (화정동)"
고모야밥집,"명덕7길 11, 1층 102호 (서부동)"
홍가네손칼국수,"새싹길 25, 아트빌 1층 (주전동)"
철수를차버린영희비어&포차,"월봉6길 56, 1층 (방어동)"
알콩캔커피,"대송1길 20, 1층 (화정동)"
트레비어전하점,"전하로 40-1, 지상동 1층 (전하동)"
원조옛날국밥,"일산진1길 24, 1층 (일산동)"
사천축산식육식당,"등대로 38, 1층 (방어동)"
마스미,"번덕7길 17, 1층 (일산동)"
싸움의고수 울산동구홈플러스,"방어진순환도로 637, 2층 (일산동)"
멕시카나,"꽃바위로 228-1, 1층 (방어동)"
매운수제비,"방어진순환도로 1140, 1층 (서부동)"
대구짬뽕,"대송로 4, 1층 (일산동)"
먹고갈래통술,"화정3길 24, 1층 (화정동)"
자야식당,"화문로 19, 1층 (방어동)"
산주막,"해수욕장길 22, 1층 (일산동)"
좋은소만,"해수욕장길 22, 1층 (일산동)"
거북이 복집,"진성11길 2, 1층 (일산동)"
상진항,"서진길 79, 지하1층 101호 (방어동, 노블홈타운)"
부산집,"상진길 67, 1층 (방어동)"
강릉장칼국수,화정4길 69 (화정동)
우일생고기,"대학길 101, 1층 (화정동)"
만남포차,"화정8길 28, 1층 (화정동)"
누리마을감자탕 감자탕&등뼈찜,"일산진4길 20, 1층 (일산동)"
연화리,"남진길 90, 지하B동 1층 101호 (방어동, SEA SIDE)"
코모레비,"해수욕장9길 36, 1층 (일산동)"
구들장통구이,"미포1길 46, 1층 (동부동)"
생활맥주 울산 일산점,"방어진순환도로 652, C동 1층 109호 (일산동, 테라스파크)"
신아,"내진길 72, 2층 (방어동)"
원마운틴(ONE MOUNTAIN),"대학길 184, 1층 (화정동)"
다정밥집,"화정6길 22, 1층 (화정동)"
향식당,"내진1길 21, 1층 (방어동)"
오빠(5bar),"대학길 161, 2층 (일산동)"
통영굴밭,"녹수11길 45, 지하동 1층 B04호 (전하동, 다이아몬드종합상가)"
자담치킨전하점,"진성3길 45, 1층 (전하동)"
김해원조묵도리뒷고기,"번덕8길 111, 1층 (일산동)"
더향,"꽃바위로 205, 1층 (방어동)"
할매만두,"북진2길 3, 2층 202호 (방어동, 청학빌라트)"
청춘연가1992,"번덕8길 5, 1층 (일산동)"
동해안횟집,"녹수7길 35, 1층 (전하동)"
인더썬(in the sun),"해수욕장2길 42, 1-2층 (일산동)"
1인용갈비찜,"등대로 14, 1층 102호 (방어동)"
백사슴,"방어진순환도로 652, D동 1층 115-116호 (일산동)"
편의점포차,"월봉5길 15, A동 1층 (방어동)"
미친마라탕,"내진길 25, 2층 (방어동)"
까치분식,"번덕8길 11, 1층 (일산동)"
비비큐(BBQ),"미포1길 20, 1층 (동부동)"
티-티(TEA-TEA),방어진순환도로 1124-1 (서부동)
원조진배기할매국밥(전하점),"방어진순환도로 807, 1층 (전하동)"
오성통닭(동구점),"방어진순환도로 652, 제2동E동 1층 104호 (일산동)"
신고향의봄,"진성6길 38, 1층 (전하동)"
정원맛집,"꽃바위로 318-1, 1층 (방어동)"
한번쯤,"진성3길 40, 2층 (전하동)"
원모어(1More),"남진길 29, 오슬로빌 1층 (방어동)"
진가원콩나물국밥묵사발,"방어진순환도로 637, 홈플러스 지상동 2층 (일산동)"
샬리마레스토랑,"방어진순환도로 621, 2층 (일산동)"
피자박스,"남목9길 9, 1층 (서부동)"
미나네 옛날 칼국수,"학문로 15-2, 지상동 1층 (일산동)"
도깨비포차,"문재7길 1, 2층 (방어동)"
짝태본부,옥류1길 2 (서부동)
코코니,"미포1길 12, 1층 (동부동)"
정성을 담은,"녹수8길 7, 1층 (전하동)"
카타리나,"옥류로 28-1, 1층 (동부동)"
서울식당,명덕5길 12 (서부동)
조와즉석떡볶이,"화문로 46, 1층 (방어동)"
진미정,"동진로 28, 1층 (방어동)"
제이제이푸드,"대송2길 22, 1층 (화정동)"
고깃집,"문현로 33, 1층 (방어동)"
오복미역울산일산점,"보성길 25, 1층 (일산동)"
정원 한방오리전문점,"동진로 87, 1층 (방어동)"
초계명가일산점,"진성7길 27, 1층 (일산동)"
팔도해물촌,"대송6길 6, 1층 (화정동)"
현대식당,"학문로 21-1, 1층 (일산동)"
사랑채,"월봉1가길 23, 지하동 1층 (방어동)"
티케이(TK)식당,"명덕2길 4, 2층 (서부동)"
칠암아나고,"문재2길 30, 1층 (방어동)"
육회마루,"미포1길 48, 1층 (동부동)"
황금실내포장마차,"중진길 30, 1층 (방어동)"
자매국수집,"진성6길 88-12, 다움빌 1층 (전하동)"
국수마을,"등대4길 9, 1층 (방어동)"
묵찌빠오뎅빠bar,"꽃바위로 258, 1층 (방어동)"
케이에프씨(울산명덕점),"방어진순환도로 909, 2~3층 (서부동)"
소문난 족발,"대송8길 6, 농수산물유통센타 1층 (화정동)"
소망식당,"중진길 32, 1층 (방어동)"
카페 드 힐링(CAFE DE HEALING),"꽃바위2가길 31, 1,2층 (방어동)"
소담송하한양숯불구이 남목점,"남목8길 2-5, 1층 (서부동)"
현준이네 식당,"월봉1가길 21, 1층 (방어동)"
다모아,방어진순환도로 927-1 (서부동)
고씨네 생고기,"등대로 40, 1층 101, 102호 (방어동)"
이모야커피깔루아,"진성2길 14, 1층 (전하동)"
3.8 춘천닭갈비,"전하로 50, 1층 (전하동)"
한낮,"봉수로 290, 상가동 지하1층 B106호 (전하동, e편한세상 전하)"
국수랑 김밥,"화문로 26, 1층 (방어동, 대호하이빌10차)"
선미식당,"화잠로 133, 1층 (방어동)"
소담바(소담Bar),남진길 74 (방어동)
돼지영농후계자(방어점),꽃바위2길 20 (방어동)
소나타,"방어진순환도로 975, 현대패밀리상가 (서부동)"
또와분식,꽃바위5길 50 (방어동)
고향식당,"꽃바위5길 47, 1층 (방어동)"
꼬기나래,"해수욕장3길 6, 1층 (일산동)"
녹색의 향기 일산점,"해수욕장9길 31, 1-2층 (일산동)"
웃으면 돼지,"월봉8길 31, 1층 (화정동)"
배꼽 달래기,"대송1길 51, 1층 (화정동)"
실비식당,"녹수길 20, 1층 (전하동)"
3000 짜장,"대송2길 19, 1층 (화정동)"
부리나치킨&식육수산,"대송2길 28, 1층 (화정동)"
정인자횟집,"대송2길 28, 1층 (화정동)"
쉐프돼지,"월봉11길 65, 화정상가 1층 111호112호호 (화정동)"
먹소,"방어진순환도로 652, 테라스파크 E동 1층 101호 (일산동)"
고기대장92,"미포4길 22, 1층 (동부동)"
봄봄포차,"동진4길 43, 1층 (방어동)"
굿딜리버리,"진성8길 65, 1층 (전하동)"
숙이네맛식당,"번덕8길 60, 1층 (일산동)"
해안가,"옥류로 22, 1층 (동부동)"
정자횟집,"중진길 35, 2층 (방어동)"
백년식당,"내진길 68-1, 1층 (방어동)"
소소한숯불집,"전하로 28, 1층 101호 (전하동)"
혜자포차 전하점,"진성3길 22, A동 1층 102호 (전하동, 산성연립주택)"
엠쿡(M cook),"대송로 80, 1층 (화정동)"
돈생갈비(돈生갈비),"방어진순환도로 624, 나동 1층 (일산동)"
피자나라 치킨공주(화정점),"월봉로 74, 1층 103호 (화정동)"
킹스데판야끼 현대울산동구점,"방어진순환도로 899, 현대백화점 (서부동)"
슈퍼맨17,"미포1길 39, 지하동 1층 (동부동)"
황소돌곱창,"진성14길 53, 1층 (전하동)"
옛도담 숯불갈비,"대송로 143, 1층 (화정동)"
황제보리국시,"방어진순환도로 662, 1동 1층 (일산동)"
메이루,"방어진순환도로 877, 울산대학교병원 본관동 1층 (전하동)"
온드린,"방어진순환도로 877, 울산대학교병원 본관동 1층 (전하동)"
캬베츠 닷뿌리,"방어진순환도로 877, 울산대학교병원 본관동 1층 (전하동)"
한솔냉면,"방어진순환도로 877, 울산대학교병원 본관동 1층 (전하동)"
네모쿡,"진성10길 93, 1층 (전하동)"
립,"전하로 26-1, 2층 (전하동)"
헤이바(Hey Bar),"전하로 28, 102호 (전하동)"
엉클박스(uncle box),"대송7길 41, 1층 (화정동)"
국수집포차,"화진길 129, 1층 (화정동)"
북경반점,"명덕4길 11, 1층 (서부동)"
월봉수산,"화정6길 16, 월봉시장 1층 1호-2호 (화정동)"
순수치킨(방어.화정점),"화진7길 3, 1층 (화정동)"
이승윤의 알통떡강정 전하점,"진성5길 71, 1층 (전하동)"
슈가펍,"꽃바위로 275, 1층 (방어동)"
황금 칼제비,"대송8길 28, 1층 (화정동)"
도리,"번덕8길 17, 1층 (일산동)"
사랑,"동진로 10, 2층 (방어동)"
프레즐,"방어진순환도로 877, 울산대학교병원 본관1층 (전하동)"
성심돼지국밥,"꽃바위4길 62, 1층 (방어동)"
곰장어생각난다,"전하로 4-1, 3층 (전하동)"
맛있는식당,"대학길 31, 1층 (화정동)"
해양촌돼지국밥,"문현로 90, 1층 (방어동)"
킹덤,"꽃바위로 221, 1층 (방어동)"
누트(Nut),"진성14길 68, 2층 (전하동)"
임병용명인의활진복어요리연구소,"주전해안길 136, 1층 (주전동)"
월화도향,"해수욕장6길 17, 2층 (일산동)"
라플라야(LA PLAYA),"남진길 43, 선라이즈 1층 (방어동)"
정담,"대송7길 40, 1층 (화정동)"
가마치옛날통닭,"등대4길 26, 1층 104호 (방어동, 대왕암 엘크루)"
인생맛집,"화정8길 22, 1층 (화정동)"
꼬지사께 명덕점,명덕4길 11 (서부동)
쌈곱,"화진8길 34, 1층 (화정동)"
돈생각,"전하로 35, 1층 103호 (전하동, 한라한빛타운)"
찬이네,"녹수8길 51, 1층 (전하동)"
오복한정식뷔페,"바드래5길 34, 1층 (전하동)"
동네친구,"진성2길 37, 1층 (전하동)"
이마시짬뽕,"등대5길 1, 1층 101호 (방어동)"
갈막숯불구이,"화진8길 36, 1층 (화정동)"
해동,"꽃바위로 163, 1층 (방어동)"
김충기꽃삼겹,"화정8길 71, 1층 (화정동)"
어썸,"문현로 28, 1층 (방어동)"
처갓집 양념치킨 일산점,"방어진순환도로 709-1, 1층 1호 (일산동)"
풀하우스(FULL HOUSE),"꽃바위로 224-1, 1층 (방어동)"
꽃다발,"북진5길 1, 2층 (방어동)"
쉘린바,"번덕8길 120, 1층 (일산동)"
땡초우동인포차,방어진순환도로 623 (일산동)
육계장인,"방어진순환도로 797, 서울강안과 1층 (전하동)"
일산이층집,"방어진순환도로 638, 2층 (일산동)"
내맘대로안주야,"미포4길 11, 1층 (동부동)"
국가대표진짜배기(명덕점),"명덕3길 3, 2층 (서부동)"
모듬베트남쌀국수,"내진길 24, 1층 (방어동)"
김선장회포차,"화잠로 105, 1층 (방어동)"
야시장회포차,"번덕로 16-1, 1층 (일산동)"
김밥일번지,"방어진순환도로 652, 테라스파크 C동 1층 108호 (일산동)"
대구막창,"월봉8길 50, 1층 (화정동)"
신토속삼계탕,"문현로 102, 2층 (방어동)"
고모집,"명덕로 21, 1층 (서부동)"
원주집,"명덕로 21, 1층 (서부동)"
유로코피자 동구점,"대송7길 9, 1층 (화정동)"
정가는밥상,"대송9길 22, 1층 (화정동)"
미소돈참숯불구이,"슬도로 21, 수림채 1층 (방어동)"
숙이네,"명덕로 21, 1층 (서부동)"
광주집,"명덕로 21, 1층 (서부동)"
소담길,"옥류2길 17, 1층 104호 (서부동, 동양연립주택)"
맛이있는집,"미포5길 12, 1층 (동부동)"
강원상회,"명덕로 21, 1층 (서부동)"
맛동산인 남목점,"미포1길 9, 1층 (동부동)"
수현이네,"명덕로 21, 1층 (서부동)"
염포집,"명덕로 21, 1층 (서부동)"
부성횟집,진성2길 39 (전하동)
미효,"번덕7길 11, 1층 (일산동)"
제주은희네해장국 동구점,"등대로 42, 1층 (방어동)"
동경식당,바드래4길 62 (전하동)
청춘춘천닭갈비,"문재3길 48, 1층 (방어동)"
명덕포차,"명덕5길 28, 1층 (서부동)"
꽃바위갈매기구이,"문현7길 25, 1층 (방어동)"
손수레,"대학길 117, 1층 (화정동)"
샤브향 울산일산점,"일산진5길 32, 1층 (일산동)"
브런치카페오길,"진성5길 45, 1층 (전하동)"
미미찜닭(동구점),"학문로 61, 1층 (화정동)"
네오,"전하로 18, 1층 (전하동)"
하루밥상,"번덕2길 10, 1층 (일산동)"
백부장닭도리탕,"화잠4길 14, 1층 (방어동)"
대왕식당,"등대로 99, 대왕암상가 B동 1~2층 4호 (일산동)"
브이아이피바(VIPBAR),"해수욕장길 17, 3층 (일산동)"
한잔콜,"미포1길 38, 1층 (동부동)"
김밥전문점히지키,"번덕로 27, 1층 (화정동)"
작은포차,"월봉로 55-2, 1층 (화정동)"
전하당,"봉수로 257, 1층 (전하동)"
부산선지국,"내진길 24, 1층 (방어동)"
짬뽕정,"대송로 4, 1층 (일산동)"
이유치킨(울산전하점),"진성5길 97, 1층 (전하동)"
맛깔참죽,"꽃바위로 328-1, 1층 (방어동)"
응급실국물떡볶이(울산일산점),"대학길 143, 1층 (일산동)"
신사동감자탕,"보성길 10, 2층 (일산동)"
수궁,"번덕8길 3, 2층 (일산동)"
뒷고기 컴퍼니,"등대5길 1, 1층 (방어동)"
순정파스타,"옥류로 40, 2층 (동부동)"
심해6광구,"문재5길 42, 1층 (방어동)"
아토샐러드(Auto SalaD),"꽃바위로 231, 모던하우스 1층 (방어동)"
청년다방(분식),"방어진순환도로 652, D동 1층 108호 (일산동)"
가마치통닭,"화진길 135, 1층 (화정동)"
부라더키친 울산동구점,"진성13길 90, 1층 (전하동)"
청운오리,"진성3길 46, 1층 (전하동)"
시스터양꼬치,"문현로 36, 1층 (방어동)"
한잔회,"대송1길 27, 1층 (화정동)"
비어킹,"옥류로 10-1, 2층 (동부동)"
